dlgdp,dlSP,dlxlk,dlbitcoinprice,dlhashrate,dltradevolume,dlmarketcap,dlnetworkdifficulty,dltotalbitcoin,trend,season2,season3,season4
0.007745181,0.056313659,0.025884094,-0.210391387,0.257588951,-1.704991287,-0.133099249,0.159148879,0.024743217,16,0,0,0
0.011184789,0.000383626,0.026198095,-0.225043188,0.054602359,0.71290253,-0.21576241,0.139343587,0.024411654,17,1,0,0
0.00620555,0.008571253,0.007223725,0.038810783,0.042172478,0.924613479,0.033419561,0.055871322,0.023094346,18,0,1,0
0.001371161,-0.076813946,-0.053214525,-0.098638503,0.059396049,0.911161723,-0.04664105,0.207816055,0.023511885,19,0,0,1
0.00507257,0.060566525,0.080431919,0.597843309,0.612393443,0.450666029,0.621620335,0.535432402,0.023777026,20,0,0,0
0.01006091,0.014011384,0.04273471,-0.037903144,0.488570755,-0.218020382,-0.014884749,0.473864607,0.023018396,21,1,0,0
0.008764689,0.014450419,-0.027902457,0.472927279,0.363660732,-1.18459767,0.504914451,0.227395853,0.02185824,22,0,1,0
0.010204866,0.030588494,0.094536097,-0.082883778,0.141239096,0.346083779,-0.082608313,0.141239101,0.011608726,23,0,0,1
0.009751466,0.032023793,0.012065884,0.484143134,0.268942006,1.566780878,0.50024611,0.2753318,0.010727828,24,0,0,0
0.008784979,0.05386009,0.097450905,0.085639418,0.28575458,0.176717617,0.102047001,0.452808664,0.01062704,25,1,0,0
0.012127886,0.025362141,0.026105342,0.833410341,0.703135457,0.869276346,0.828642632,0.349563817,0.010528233,26,0,1,0
0.016443493,0.038829262,0.077001651,0.555870706,0.073869824,0.574097063,0.558709445,0.442708936,0.010726612,27,0,0,1
0.013029044,0.059424718,0.078870604,1.151740833,0.742033056,1.761921148,1.146494913,0.555271181,0.010608301,28,0,0,0
0.017166196,-0.012321211,0.022726494,-0.687428567,0.635549806,-0.188994083,-0.716236271,0.597461528,0.010489572,29,1,0,0
0.008097422,0.028924028,0.060066983,-0.084604599,0.271736932,-1.306031925,-0.009413332,0.373688948,0.010249314,30,0,1,0
0.007437409,0.073121864,0.085751047,0.036392425,0.414824212,-0.028555598,0.046876328,0.342661765,0.010079581,31,0,0,1
0.00900479,-0.154127315,-0.199834299,-0.566376519,-0.300047533,0.160454542,-0.554265203,-0.241398806,0.00907364,32,0,0,0
0.013604899,0.134305471,0.190809686,0.092073248,0.035679754,-1.562600539,0.105052525,0.126971174,0.009378712,33,1,0,0
0.010082928,0.033318581,0.055364452,0.959329025,0.268383999,1.169524678,0.919323159,0.218194254,0.009593014,34,0,1,0
0.008770812,-0.008156426,0.006286956,-0.256576097,0.475053912,0.004399008,-0.20098864,0.475053912,0.009858805,35,0,0,1
-0.009870928,0.094228982,0.138922325,-0.147517688,0.217291172,-1.289679946,-0.13362082,0.021080503,0.0092161,36,0,0,0
-0.09792883,-0.268303035,-0.180381692,-0.108962916,-0.063209561,0.632575436,-0.078547157,0.065407817,0.009070464,37,1,0,0
0.081842445,0.232084638,0.312903521,0.351293424,0.18337952,-0.353586447,0.3436386,0.126221106,0.006560119,38,0,1,0
